,Agent ID,survey_id,Survey Conducted By,Household Name,Community Name,Region,District,Household GPS Coordinates,Latitude,Longitude,Altitude,Accuracy,Does the community have structured leadership for development initiatives?,"Are there active farmer groups, cooperatives, or community organizations?",How does the community approach external support?,How advanced are the community's farming practices?,"Does the community have access to farming resources (seeds, tools, irrigation, etc.)?",What is the state of post-harvest handling and storage?,How do farmers sell their produce?,Are there agribusinesses and local economic activities supporting farmers?,How financially independent are the farmers in the community?,How involved are youth and women in agriculture and leadership?,How does the community handle challenges and problem-solving?,Total Score (Auto-Calculated in Kobo Collect) out of 55 :,Community Maturity Level:,Score Range,Community Stage,Readiness Description,Region/District:,Date of Assessment:,Number of People Participating in This Survey:,1. Do community members see farming as a business rather than just subsistence?,2. How willing is the community to try new agricultural practices?,3. How does the community view external support from organizations like Roots Africa?,4. What happens when past agricultural projects have ended?,5. Is there an active community leadership structure that can help drive transformation?,6. Are farmers already working together in cooperatives or groups?,7. Do community leaders believe in empowering women and youth in agriculture?,8. How have community members responded to past development programs?,"9. How willing is the community to contribute resources (time, land, labor) to transformation efforts?",10. Is there a history of community self-initiative (projects started without external funding)?,11. What are the biggest challenges preventing agricultural progress in this community?,12. What existing strengths or resources can the community use to support transformation?,13. Have other organizations worked in this community in the past 5 years?,14. What types of organizations have engaged with the community?,15. What is the community’s relationship with past organizations?,Mindset & Readiness for Change (0-20),Community Leadership & Ownership (0-20),Community Participation & Engagement (0-20),Existing Challenges & Opportunities (0-20),External Partnerships & Past Engagements (0-20),Total Readiness Score (100 max),**Engagement Criteria:**,Date,Time,Altitude (m),Accuracy (m),Storage/Processing Facilities,Transportation Infrastructure,Water Sources,Community Skills,Community Leadership,Cooperative Name,Cooperative Purpose,Cooperative Members,Financial Services,Agribusiness Name,Agribusiness Type,Agribusiness Support,External Organizations,Specific Organizations and Activities,Impact Delivered,Unaddressed Gaps,Top Strengths,Strength Choice 1,Strength Choice 2,Strength Choice 3,Top Barriers,Barrier Choice 1,Barrier Choice 2,Barrier Choice 3,Partnership Needs,Community Group Interest,Survey Respondent,Respondent Other (if specified),Total Household Members,Male Adults (18+),Female Adults (18+),Children (<18),Household Head Education Level,Financial Decision Maker,Financial Decision Maker Other (if specified),Main Income Sources,Main Income Source Other (if specified),Estimated Monthly Income,Have Savings?,Taken Loans in Past 12 Months?,Meals Per Day,Food-Related Difficulties (Past 30 Days),Primary Food Source,Primary Food Source Other (if specified),Regularly Consumed Foods,Land Ownership,Farmed Land Size,Crops Cultivated,Crops Other (if specified),Livestock Raised,Livestock Other (if specified),Farming Techniques Used,Biggest Farming Challenge,Agricultural Produce Sales Channel,Sales Channel Other (if specified),Market Access Challenges,Satisfaction with Living Standard,Top 3 Household Priorities,Household Priorities Other (if specified),Training Interests,Surveyor Comments,Household Support Recommendations
0,AGT0001,SURV0001,Grace Njeri,Karanja Household,Uasin Gishu,Rift Valley,Uasin Gishu,-0.580092 34.546748,-0.580092,34.546748,874.2,7.51,No leadership structure in place,"Strong cooperatives, fully independent",Participates but expects outside funding,Some farmers experimenting with improved methods,"Adequate resources, but some farmers lack access","Some traditional storage methods, but losses are still high",Farmers connected to markets and cooperatives,No agribusinesses in the community,"Farmers save, reinvest, and have credit access","Some youth/women participate, but at low levels","Fully independent problem-solving, no reliance on external help",31.0,Growth,26-35,Growth,Actively improving but needs market linkages and business training.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AGT0002,SURV0002,Alice Wanjiku,Kiptoo Household,Mombasa,Coast,Mombasa,-1.11172 39.162292,-1.11172,39.162292,1066.8,14.58,"Strong leadership, guiding community projects","Active, well-structured groups working together",Relies entirely on aid,"Advanced farming, commercial production, and value addition",No access to farming resources,Advanced storage and processing for value addition,"Farmers control their own markets, strong linkages","Few businesses, mainly informal and struggling","No savings, no financial literacy","Some youth/women participate, but at low levels",Waits for external help,31.0,Growth,26-35,Growth,Actively improving but needs market linkages and business training.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AGT0003,SURV0003,Alice Wanjiku,Njoroge Family,Kakamega,Western,Kakamega,4.062105 39.007634,4.062105,39.007634,729.6,7.54,"Some leaders exist, but engagement is weak","Strong cooperatives, fully independent",Engages with organizations but needs motivation,"Traditional farming, no modern techniques",No access to farming resources,Advanced storage and processing for value addition,"No structured market access, rely on local buyers","Few businesses, mainly informal and struggling",Farmers rely entirely on loans or aid,Not involved at all,"Takes action, but leadership is weak",26.0,Growth,26-35,Growth,Actively improving but needs market linkages and business training.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AGT0004,SURV0004,Samuel Mutua,Odhiambo Family,Mombasa,Coast,Mombasa,-0.732699 38.352421,-0.732699,38.352421,916.6,3.71,"Some leaders exist, but engagement is weak",No formal groups exist,"Fully independent, initiates own projects",Farmers applying new techniques with some success,No access to farming resources,Good storage and reduced losses,"Sell through middlemen, low bargaining power","Few businesses, mainly informal and struggling",Fully financially self-sufficient community,Engaged but need leadership training,Solves problems through community efforts,32.0,Growth,26-35,Growth,Actively improving but needs market linkages and business training.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AGT0005,SURV0005,Alice Wanjiku,Ochieng Family,Mukurweini,Central,Nyeri,3.710248 41.294003,3.710248,41.294003,1466.7,14.99,"Some leaders exist, but engagement is weak","Some informal groups, but they are weak","Fully independent, initiates own projects",Farmers applying new techniques with some success,Some resources but unreliable access,"Some traditional storage methods, but losses are still high","Sell through middlemen, low bargaining power","Thriving businesses, value addition, and market access",Fully financially self-sufficient community,Not involved at all,"Takes action, but leadership is weak",32.0,Growth,26-35,Growth,Actively improving but needs market linkages and business training.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AGT0011,SURV0011,Alice Wanjiku,Wekesa Household,Mukurweini,Central,Nyeri,3.143472 34.435384,3.143472,34.435384,1642.8,9.17,"Leaders are engaged, but need more training",No formal groups exist,Relies entirely on aid,Farmers applying new techniques with some success,"Adequate resources, but some farmers lack access","Some traditional storage methods, but losses are still high",Farmers connected to markets and cooperatives,"Few businesses, mainly informal and struggling",Fully financially self-sufficient community,"Leading initiatives, driving community change","Takes action, but leadership is weak",32.0,Growth,26-35,Growth,Actively improving but needs market linkages and business training.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AGT0014,SURV0014,Alice Wanjiku,Odhiambo Family,Mukurweini,Central,Nyeri,2.191371 41.253952,2.191371,41.253952,1589.9,10.3,Leadership is proactive and independent,"Active, well-structured groups working together",Participates but expects outside funding,"Traditional farming, no modern techniques",Some resources but unreliable access,Farmers using better storage but need improvements,"Farmers control their own markets, strong linkages",Some small agribusinesses emerging,Some financial access but limited growth,Not involved at all,Solves problems through community efforts,33.0,Growth,26-35,Growth,Actively improving but needs market linkages and business training.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AGT0006,SURV0006,Fatima Hassan,Kimani Family,Kakamega,Western,Kakamega,1.802636 41.653474,1.802636,41.653474,962.7,9.11,"Strong leadership, guiding community projects","Some informal groups, but they are weak",Takes ownership of projects with minimal support,"Traditional farming, no modern techniques","Adequate resources, but some farmers lack access","Some traditional storage methods, but losses are still high","Sell through middlemen, low bargaining power",No agribusinesses in the community,"No savings, no financial literacy",Engaged but need leadership training,Solves problems through community efforts,27.0,Growth,26-35,Growth,Actively improving but needs market linkages and business training.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AGT0007,SURV0007,Peter Otieno,Karanja Household,Kilifi,Coast,Kilifi,2.107676 35.369603,2.107676,35.369603,1989.3,12.08,No leadership structure in place,"Strong cooperatives, fully independent","Fully independent, initiates own projects",Some farmers experimenting with improved methods,No access to farming resources,Farmers using better storage but need improvements,Some direct market access but inconsistent,Some small agribusinesses emerging,Farmers rely entirely on loans or aid,"Some youth/women participate, but at low levels","Fully independent problem-solving, no reliance on external help",32.0,Growth,26-35,Growth,Actively improving but needs market linkages and business training.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AGT0008,SURV0008,Grace Njeri,Kimani Family,Busia,Western,Busia,0.411501 35.456921,0.411501,35.456921,1723.0,8.8,No leadership structure in place,"Active, well-structured groups working together",Relies entirely on aid,Farmers applying new techniques with some success,"Adequate resources, but some farmers lack access","No proper storage, high post-harvest losses","No structured market access, rely on local buyers","Few businesses, mainly informal and struggling",Fully financially self-sufficient community,"Active participants, taking leadership roles",Waits for external help,26.0,Growth,26-35,Growth,Actively improving but needs market linkages and business training.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
